===== Monitoring started: 2026-04-21 02:07:06 =====
[2026-04-21 02:07:06] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 370 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:11] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 370 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:16] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 370 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:21] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 370 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:26] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 370 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:31] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 372 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:36] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 370 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:41] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:46] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:51] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:07:56] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:01] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:06] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:12] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 375 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:17] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 375 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:22] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 375 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:27] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 375 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:32] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 375 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:37] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:42] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:47] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:52] TOP_CPU: yes (PID=45524, CPU=99.7%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:08:57] TOP_CPU: claude (PID=41565, CPU=9.0%) | UNAUTHORIZED: 372 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:02] TOP_CPU: claude (PID=41565, CPU=9.0%) | UNAUTHORIZED: 372 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:07] TOP_CPU: claude (PID=41565, CPU=9.0%) | UNAUTHORIZED: 373 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:12] TOP_CPU: claude (PID=41565, CPU=9.0%) | UNAUTHORIZED: 375 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:17] TOP_CPU: yes (PID=49311, CPU=100%) | UNAUTHORIZED: 376 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:22] TOP_CPU: yes (PID=49311, CPU=99.6%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:27] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:33] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:38] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:43] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:48] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:53] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:09:58] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 371 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:03] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:08] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 377 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:13] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 377 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:18] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 377 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:23] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 377 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:28] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 377 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:33] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 377 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:38] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:43] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:48] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 371 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:54] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 371 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:10:59] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 371 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:11:04] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 371 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:11:09] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 371 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:11:14] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 374 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:11:19] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 376 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:11:24] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 376 | LOG_ANOMALY: YES | STATUS: CRITICAL
[2026-04-21 02:11:29] TOP_CPU: yes (PID=49311, CPU=99.7%) | UNAUTHORIZED: 376 | LOG_ANOMALY: YES | STATUS: CRITICAL
